braco,corr_mediana,corr_min,corr_max,n_corr_negativa,n_corr_menor_-0.5,n_corr_maior_igual_0,n_corr_maior_igual_-0.1,N_configs,amplitude_mediana,amplitude_min,amplitude_max,corr_config_referencia,amplitude_config_referencia
RULE_OR,-0.9920,-0.9990,-0.9108,48,48,0,0,48,0.029871,0.013651,0.075199,-0.9927,0.036184
RULE_CNT,-0.9966,-0.9995,-0.9456,48,48,0,0,48,0.026562,0.004067,0.065113,-0.9975,0.027058
LOOKUP,-0.9917,-0.9990,-0.7051,48,48,0,0,48,0.016830,0.001533,0.050289,-0.9875,0.014207
A,-0.9927,-0.9997,-0.6165,48,48,0,0,48,0.017127,0.001796,0.049840,-0.9919,0.012441
B,0.4371,-0.9700,0.9314,18,11,30,33,48,0.054269,0.004620,0.120930,0.8012,0.027425
C,-0.9376,-0.9946,-0.7875,48,48,0,0,48,0.088183,0.003081,0.227483,-0.9455,0.121406
