braco,prec_mediana,prec_min,prec_max,brier_mediana,brier_min,brier_max,ece_mediana,ece_min,ece_max,dif_prec_vs_LOOKUP_pp_mediana,dif_prec_vs_LOOKUP_pp_min,dif_prec_vs_LOOKUP_pp_max,n_configs_supera_LOOKUP,N_configs,ref_prec,ref_brier,ref_ece
RULE_OR,0.208953,0.058281,0.794156,0.484561,0.071622,0.798059,0.484561,0.071622,0.798059,-31.2859,-51.1469,-8.1000,0,224,0.252531,0.423347,0.423347
RULE_CNT,0.519797,0.140125,0.997219,0.128053,0.019024,0.278973,0.164045,0.026014,0.413872,-0.8734,-9.0750,0.1188,6,224,0.652313,0.107813,0.129052
LOOKUP,0.532469,0.140437,0.999125,0.069188,0.012869,0.170001,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,224,0.676562,0.079868,0.000000
A,0.532172,0.140344,0.999031,0.069212,0.012892,0.170026,0.002267,0.000975,0.003831,-0.0219,-0.2969,0.2719,86,224,0.675281,0.079896,0.002456
B,0.545906,0.142187,0.999125,0.068866,0.012732,0.168749,0.002562,0.001079,0.003973,0.6734,-0.1344,2.9563,213,224,0.694125,0.079174,0.002672
C,0.515859,0.131625,0.999125,0.195179,0.015830,0.599634,0.293438,0.016993,0.737436,-0.6531,-3.8594,0.8656,23,224,0.645656,0.152029,0.225511
